title,price
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹10,490"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹10,490"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹5,999"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹10,490"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹9,490"
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹14,499"
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹14,499"
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499"
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹9,490"
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹11,978"
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999"
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹12,999"
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹12,144"
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹7,180"
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹5,999"
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹11,877"
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹11,299"
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB)","₹29,999"
"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)","₹11,130"
"SAMSUNG Galaxy M04 (Light Green, 128 GB)","₹7,788"
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹7,190"
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Lavender, 128 GB)","₹29,999"
